t_sec      qx           qy           qz           qw
 68.500  -0.886595984  -0.046401769   0.150217102   0.435004897
 68.750  -0.886646715  -0.046517631   0.150385571   0.434830879
 69.000  -0.886697258  -0.046633408   0.150553909   0.434657127
 69.250  -0.886747615  -0.046749100   0.150722116   0.434483639
 69.500  -0.886797785  -0.046864706   0.150890193   0.434310415
 69.750  -0.886847769  -0.046980227   0.151058140   0.434137457
 70.000  -0.886897566  -0.047095663   0.151225956   0.433964763
 70.250  -0.886947177  -0.047211014   0.151393642   0.433792335
 70.500  -0.886996603  -0.047326279   0.151561197   0.433620172
 70.750  -0.887045842  -0.047441459   0.151728623   0.433448275
 71.000  -0.887094896  -0.047556554   0.151895918   0.433276644
 71.250  -0.887143764  -0.047671563   0.152063083   0.433105278
 71.500  -0.887192448  -0.047786488   0.152230118   0.432934179
 71.750  -0.887240946  -0.047901327   0.152397023   0.432763346
 72.000  -0.887289260  -0.048016081   0.152563798   0.432592779
 72.250  -0.887337389  -0.048130750   0.152730444   0.432422479
 72.500  -0.887385334  -0.048245333   0.152896960   0.432252446
 72.750  -0.887433094  -0.048359832   0.153063346   0.432082680
 73.000  -0.887480671  -0.048474245   0.153229602   0.431913180
 73.250  -0.887528064  -0.048588573   0.153395730   0.431743949
 73.500  -0.887575273  -0.048702816   0.153561727   0.431574984
 73.750  -0.887622298  -0.048816974   0.153727596   0.431406287
 74.000  -0.887669141  -0.048931047   0.153893335   0.431237858
 74.250  -0.887715800  -0.049045035   0.154058945   0.431069697
 74.500  -0.887762277  -0.049158937   0.154224426   0.430901804
 74.750  -0.887808571  -0.049272755   0.154389778   0.430734180
 75.000  -0.887854682  -0.049386487   0.154555001   0.430566824
 75.250  -0.887900612  -0.049500135   0.154720095   0.430399736
 75.500  -0.887946359  -0.049613697   0.154885060   0.430232917
 75.750  -0.887991924  -0.049727175   0.155049896   0.430066367
 76.000  -0.888037308  -0.049840567   0.155214604   0.429900086
 76.250  -0.888082510  -0.049953875   0.155379183   0.429734075
 76.500  -0.888127531  -0.050067097   0.155543634   0.429568333
